,OverallError,PANAS.Positive_Error,PANAS.Negative_Error,PANAS.Positive_Accuracy,PANAS.Negative_Accuracy
0,3.3323974609375,1.6697371006011963,1.6626601219177246,0.3764183521270752,0.3826962411403656
1,3.1932995319366455,1.597411036491394,1.5958880186080933,0.3777669370174408,0.3813709020614624
2,3.321192741394043,1.6653567552566528,1.6558356285095215,0.3777204155921936,0.38525390625
3,3.328843355178833,1.665056824684143,1.66378653049469,0.3804873526096344,0.3816731870174408
4,3.3343052864074707,1.6682500839233398,1.6660547256469727,0.3766275942325592,0.379208505153656
5,3.1688807010650635,1.587127685546875,1.5817525386810303,0.3820684552192688,0.3888346254825592
6,3.1784849166870117,1.5927388668060303,1.5857456922531128,0.3776739239692688,0.3849748969078064
7,3.330641984939575,1.6692533493041992,1.661388635635376,0.3760928213596344,0.3837425708770752
8,3.3367443084716797,1.671261191368103,1.665482997894287,0.375,0.380464106798172
9,3.327486753463745,1.6670348644256592,1.6604520082473755,0.3782784640789032,0.384370356798172
